,No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
17,98,EGOV,1.73B,28.83,25.83,2.88,4.25,6.19,7.34,44.07,-14.50%,-0.79%,4.70%,10.00%,5.40%,25.83,0.19%,"202,140"
18,99,EGY,109.24M,-,-,-,1.43,1.57,2.60,-,-102.90%,-,48.30%,2.00%,-7.90%,1.77,0.00%,"429,971"
19,100,EIGR,391.68M,-,-,-,-,3.95,3.13,-,19.30%,-14.50%,17.00%,-,-,12.29,9.73%,"1,308,265"
0,101,ELMD,86.92M,23.70,21.10,1.58,2.70,2.72,7.83,22.29,105.50%,89.80%,28.60%,15.00%,10.80%,9.81,-0.81%,"63,613"
1,102,EQ,133.43M,-,-,-,-,1.46,1.47,-,-35.50%,9.20%,-,-,-,5.35,-1.65%,"1,375,443"
2,103,EQNR,53.64B,-,11.92,-,1.10,1.57,2.91,-,-75.50%,129.50%,-14.60%,5.80%,-8.20%,16.42,-1.68%,"2,257,339"
3,104,ETNB,476.43M,-,-,-,-,1.92,2.17,-,-210.60%,-24.40%,-,16.00%,-,24.37,-4.73%,"177,575"
4,105,EVC,231.52M,-,7.05,-,0.95,0.90,1.70,24.63,-272.00%,400.00%,-22.70%,-,2.50%,2.75,-3.17%,"180,313"
5,106,EVRI,1.20B,-,53.53,-,2.92,-,4.99,-,36.70%,127.10%,2.80%,20.00%,-2.10%,13.81,0.88%,"1,383,656"
6,107,EXAS,21.29B,-,-,-,16.12,8.51,16.59,-,55.40%,50.60%,12.50%,-,244.80%,132.49,-2.15%,"742,008"
7,108,EXPI,4.43B,193.03,83.82,19.30,3.03,39.45,48.20,44.60,60.80%,67.33%,-,10.00%,136.10%,63.12,-5.93%,"956,512"
8,109,FBC,2.11B,5.28,6.72,2.64,2.57,1.06,3.22,-,18.80%,-32.82%,33.40%,2.00%,22.70%,40.76,0.34%,"402,782"
9,110,FBMS,672.88M,12.71,12.08,-,3.86,1.04,1.11,19.34,57.00%,21.71%,16.50%,-,32.50%,30.88,0.52%,"56,927"
10,111,FCAU,28.49B,7.80,5.97,0.39,-,1.05,-,-,-77.30%,388.70%,40.74%,20.11%,-,18.09,-0.17%,"2,551,308"
11,112,FCN,3.94B,23.06,18.05,2.93,1.62,2.70,12.95,16.35,43.20%,12.55%,31.40%,7.87%,6.00%,111.72,0.95%,"200,631"
12,113,FENC,196.53M,-,2.34,-,-,6.11,5.92,-,-23.00%,479.80%,-23.80%,-,-,7.45,4.34%,"76,665"
13,114,FIXX,521.94M,-,-,-,226.93,3.00,-,-,-26.80%,9.90%,-,-9.40%,-,11.29,-3.91%,"321,755"
14,115,FLNT,376.11M,139.74,27.95,3.49,1.22,1.93,24.42,30.83,-152.90%,153.33%,30.50%,40.00%,221.70%,5.31,-6.35%,"785,348"
15,116,FLUX,204.81M,-,-,-,10.56,38.31,33.03,-,1.50%,29.80%,-2.50%,-,88.10%,17.24,-11.27%,"654,359"
16,117,FORR,784.37M,63.10,22.53,6.31,1.73,4.52,10.74,37.00,-160.30%,17.72%,-23.80%,10.00%,8.10%,41.90,0.94%,"50,224"
17,118,FSTR,162.09M,3.22,18.13,0.32,0.31,0.92,17.43,-,233.00%,1.22%,10.00%,10.00%,1.50%,15.05,-0.53%,"44,117"
18,119,FTAI,1.99B,30.43,39.23,-,4.41,1.72,16.63,-,-134.50%,200.00%,75.10%,-14.10%,58.50%,23.46,2.71%,"444,760"
19,120,FTS,19.05B,23.65,15.64,-,-,1.61,-,-,24.50%,4.80%,-,-,-,40.82,-0.58%,"304,991"
0,121,GASS,89.68M,6.83,2.52,1.34,0.63,0.16,3.25,6.55,117.10%,68.41%,-30.40%,5.10%,1.80%,2.35,1.29%,"103,864"
1,122,GBIO,1.36B,-,-,-,-,4.50,4.84,-,-71.30%,15.30%,-,-,-,28.35,-8.13%,"213,978"
2,123,GFF,1.14B,17.36,11.42,0.85,0.47,1.34,5.21,16.12,11.60%,17.14%,35.30%,20.41%,10.20%,20.38,-0.20%,"149,832"
3,124,GH,12.95B,-,-,-,47.72,11.75,12.78,-,15.70%,34.60%,-,28.60%,-,128.88,2.17%,"836,510"
4,125,GHIV,558.03M,-,9.38,-,-,-,-,-,-,14.80%,-,-,-,13.13,0.38%,"6,102,908"
5,126,GLNG,1.06B,-,-,-,2.31,0.80,13.80,10.01,8.40%,83.30%,-30.70%,-,33.40%,9.64,1.05%,"882,862"
6,127,GLTO,319.38M,-,-,-,-,-,3.74,-,-121.30%,49.60%,-,47.60%,-,12.51,-5.58%,"14,596"
7,128,GMBL,81.34M,-,-,-,406.72,4.60,9.14,-,-36.50%,62.50%,-,-,-,6.35,-5.22%,"238,083"
8,129,GMRE,646.73M,-,57.28,-,7.24,1.70,307.97,-,-71.10%,221.10%,15.60%,9.00%,159.90%,13.06,-0.76%,"923,463"
9,130,GNCA,129.35M,-,-,-,92.39,6.72,1.48,-,30.00%,10.50%,36.40%,-,-,2.42,-7.98%,"326,758"
10,131,GRC,841.75M,31.69,21.07,2.11,2.34,2.65,8.98,-,-9.00%,36.28%,-0.10%,15.00%,-1.70%,32.45,0.22%,"35,043"
11,132,GRFS,12.62B,30.76,12.46,2.67,-,5.18,-,-,7.00%,8.00%,2.78%,11.50%,-,18.44,-0.32%,"350,287"
12,133,GRTX,254.52M,-,-,-,-,10.33,2.86,-,-96.20%,23.70%,-,56.30%,-,10.23,-5.19%,"33,483"
13,134,GSL,208.91M,6.63,5.79,0.55,0.75,0.48,2.11,2.00,122.80%,53.36%,15.40%,12.00%,13.50%,11.89,1.54%,"58,661"
14,135,GTEC,74.64M,-,-,-,1.36,1.70,7.18,-,336.00%,-,0.00%,14.00%,-,7.24,-5.24%,"120,343"
15,136,GTH,1.24B,-,-,-,20.53,1.47,4.32,-,-32.40%,44.70%,-,-,-,14.00,10.06%,"619,097"
16,137,HARP,456.44M,-,-,-,37.41,6.86,2.95,11.61,-123.30%,-2.40%,-,-,-,16.61,-0.12%,"141,364"
17,138,HCAT,1.84B,-,-,-,10.29,5.85,6.70,-,-295.50%,36.10%,-,-,-,43.53,0.65%,"175,882"
18,139,HCCI,507.15M,112.07,30.85,7.47,1.23,1.81,9.62,56.98,-43.40%,156.77%,24.10%,15.00%,5.60%,21.07,3.28%,"34,769"
19,140,HCKT,430.84M,69.18,14.64,5.12,1.73,3.12,9.97,12.03,-15.20%,46.06%,17.20%,13.50%,3.60%,14.39,2.79%,"88,144"
0,141,HDB,132.04B,139.63,26.47,5.87,-,23.40,-,-,5.20%,23.50%,14.05%,23.80%,-,72.26,0.36%,"809,747"
1,142,HEAR,337.04M,9.16,15.80,0.51,1.02,3.34,12.35,8.32,-58.30%,-21.38%,22.30%,18.00%,4.70%,21.55,-5.23%,"566,840"
2,143,HI,2.99B,-,12.65,-,1.19,2.83,9.88,11.69,-142.70%,9.73%,-19.80%,12.50%,9.50%,39.80,0.73%,"204,720"
3,144,HJLI,17.82M,-,-,-,-,2.61,3.18,-,72.30%,-1011.80%,-39.80%,-,-,8.65,7.86%,"164,991"
4,145,HLF,6.33B,18.51,11.38,-,1.18,-,6.12,11.10,10.70%,12.11%,5.30%,-0.50%,-0.30%,48.05,0.54%,"368,286"
5,146,HMC,50.37B,20.59,9.99,1.07,0.40,0.63,1.71,9.53,-24.80%,41.95%,-1.60%,19.20%,2.30%,28.25,0.32%,"370,367"
6,147,HMTV,417.92M,-,54.53,-,2.91,1.86,3.55,9.23,50.80%,226.70%,-18.60%,-,5.90%,10.36,-1.33%,"38,469"
7,148,HNGR,834.30M,20.86,20.46,2.09,0.81,25.87,5.66,5.23,-75.60%,388.64%,59.90%,10.00%,1.60%,21.99,0.96%,"67,044"
8,149,HNNA,64.03M,8.03,-,-,1.92,0.79,6.40,10.01,-25.10%,-,-3.60%,-,-5.70%,8.52,-3.29%,"24,235"
